elapsed_sec	epoch	label	pid	rss_kb	pcpu	pmem	fds
1370	1784113568	mapping_manager	667575	65944	27.5	0.1	19
1370	1784113568	safety	667592	23780	1.5	0.0	19
1401	1784113599	workbench	667581	177556	51.0	0.2	19
1401	1784113599	rviz	667863	228152	44.8	0.3	50
1401	1784113599	sim	667881	68336	41.4	0.1	19
1401	1784113599	rtabmap	667579	520472	36.9	0.8	20
1401	1784113599	map_products	667573	400384	45.9	0.6	19
1401	1784113599	mapping_manager	667575	65944	27.5	0.1	19
1401	1784113599	safety	667592	23780	1.5	0.0	19
1431	1784113629	workbench	667581	177556	51.4	0.2	19
1431	1784113629	rviz	667863	230564	44.8	0.3	50
1431	1784113629	sim	667881	68336	41.3	0.1	19
1431	1784113629	rtabmap	667579	527808	37.1	0.8	20
1431	1784113629	map_products	667573	400912	46.1	0.6	19
1431	1784113629	mapping_manager	667575	65944	27.4	0.1	19
1431	1784113629	safety	667592	23780	1.5	0.0	19
1462	1784113660	workbench	667581	179140	51.9	0.2	19
1462	1784113660	rviz	667863	233836	44.9	0.3	50
1462	1784113660	sim	667881	68336	41.2	0.1	19
1462	1784113660	rtabmap	667579	542116	37.5	0.8	20
1462	1784113660	map_products	667573	401440	46.3	0.6	19
1462	1784113660	mapping_manager	667575	65944	27.3	0.1	19
1462	1784113660	safety	667592	23780	1.5	0.0	19
1492	1784113690	workbench	667581	182244	52.3	0.2	19
1492	1784113690	rviz	667863	228504	44.9	0.3	50
1492	1784113690	sim	667881	68336	41.2	0.1	19
1492	1784113690	rtabmap	667579	565136	38.1	0.8	20
1492	1784113690	map_products	667573	401968	46.6	0.6	19
1492	1784113690	mapping_manager	667575	65944	27.3	0.1	19
1492	1784113690	safety	667592	23780	1.5	0.0	19
1523	1784113721	workbench	667581	182508	52.7	0.2	19
1523	1784113721	rviz	667863	235776	45.0	0.3	50
1523	1784113721	sim	667881	68336	41.1	0.1	19
1523	1784113721	rtabmap	667579	563356	38.7	0.8	20
1523	1784113721	map_products	667573	402496	46.8	0.6	19
1523	1784113721	mapping_manager	667575	65944	27.2	0.1	19
1523	1784113721	safety	667592	23780	1.5	0.0	19
1553	1784113751	workbench	667581	187784	53.1	0.2	19
1553	1784113751	rviz	667863	238800	45.0	0.3	50
1553	1784113751	sim	667881	68336	41.0	0.1	19
1553	1784113751	rtabmap	667579	570600	38.7	0.8	20
1553	1784113751	map_products	667573	403024	47.0	0.6	19
